gene_id,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells
PA14_00010,17,0.0003025022990174725,0.0003024565544220148,99.97942984366681,25.0,3.258096538021482,3
PA14_00020,48,0.0006655050578384396,0.0006652837075484825,99.94191955858864,55.0,4.02535169073515,5
PA14_00030,99,0.0016577125986157494,0.0016563401096714053,99.88020908958907,137.0,4.927253685157205,5
PA14_00050,59,0.0009075068970524176,0.0009070953616303211,99.92860945743188,75.0,4.330733340286331,9
PA14_00090,133,0.0021054160011616087,0.0021032027189347353,99.8390687769227,174.0,5.1647859739235145,11
PA14_00100,108,0.0016940128744978463,0.001692579653057125,99.86931900682445,140.0,4.948759890378168,7
PA14_00200,38,0.0005929045060742462,0.0005927288076424157,99.95401965054934,49.0,3.912023005428146,4
PA14_00280,18,0.000363002758820967,0.0003629368892595841,99.97821983447074,30.0,3.4339872044851463,5
PA14_00290,16,0.0003509026668602681,0.00035084111491820273,99.98063985286288,29.0,3.4011973816621555,3
PA14_00780,11,0.0001573011954890857,0.00015728882495328426,99.98668989884322,13.0,2.639057329615259,3
PA14_01020,75,0.0011495087362663955,0.0011488485569718298,99.90924931029475,95.0,4.564348191467836,5
PA14_01560,11,0.00021780165529258023,0.00021777793995548676,99.98668989884322,18.0,2.9444389791664403,3
PA14_01600,48,0.0006776051497991384,0.0006773756790841288,99.94191955858864,56.0,4.04305126783455,4
PA14_01710,264,0.00407773099075553,0.004069439578196254,99.68055757223755,337.0,5.823045895483019,9
PA14_01720,8,0.00012100091960698902,0.00012099359958619635,99.99031992643144,10.0,2.3978952727983707,3
PA14_01730,124,0.0020812158172402112,0.0020790530878191773,99.84995885968733,172.0,5.153291594497779,7
PA14_02020,77,0.001222109288030589,0.0012213631203450766,99.90682929190262,101.0,4.624972813284271,5
PA14_03166,19,0.0002904022070567736,0.0002903600484976035,99.97700982527468,24.0,3.2188758248682006,4
PA14_03200,5,7.26005517641934e-05,7.259791647168353e-05,99.99394995401964,6.0,1.9459101490553132,3
PA14_03350,22,0.0003267024829388703,0.00032664912730332054,99.97337979768646,27.0,3.332204510175204,4
PA14_03450,99,0.001706112966458545,0.0017046592090127948,99.88020908958907,141.0,4.955827057601261,6
PA14_03800,100,0.0016214123227336528,0.0016200992529335856,99.87899908039302,134.0,4.90527477843843,7
PA14_03855,23,0.00043560331058516046,0.0004355084630060108,99.97216978849039,36.0,3.6109179126442243,4
PA14_03860,22,0.0003509026668602681,0.00035084111491820273,99.97337979768646,29.0,3.4011973816621555,4
PA14_03920,116,0.0019239146217511253,0.0019220662683516207,99.8596389332559,159.0,5.075173815233827,4
PA14_04110,47,0.0007502057015633318,0.0007499244379276008,99.94312956778472,62.0,4.143134726391533,5
PA14_04160,129,0.0021296161850830066,0.0021273517668596947,99.84390881370699,176.0,5.176149732573829,4
PA14_04410,30,0.0007139054256812352,0.0007136507164211659,99.9636997241179,59.0,4.0943445622221,5
PA14_04900,165,0.002347417840375587,0.002344666959254132,99.80034848264847,194.0,5.272999558563747,4
PA14_04930,51,0.000859106529209622,0.0008587377084178075,99.93828953100044,71.0,4.276666119016055,3
PA14_05260,89,0.0013673103915589758,0.0013663764739121498,99.89230918154978,113.0,4.736198448394496,5
PA14_05270,12,0.0001815013794104835,0.00018148491002789986,99.98547988964717,15.0,2.772588722239781,3
PA14_05290,10,0.0001694012874497846,0.0001693869406719087,99.9878999080393,14.0,2.70805020110221,3
PA14_05360,102,0.0016577125986157494,0.0016563401096714053,99.87657906200087,137.0,4.927253685157205,11
PA14_05510,38,0.0005929045060742462,0.0005927288076424157,99.95401965054934,49.0,3.912023005428146,4
PA14_05540,152,0.0026620202313537584,0.0026584833309741458,99.81607860219738,220.0,5.3981627015177525,12
PA14_05550,53,0.0010527080005808044,0.001052154292075073,99.9358695126083,87.0,4.477336814478207,4
PA14_05560,34,0.000617104689995644,0.0006169143591950977,99.95885968733363,51.0,3.9512437185814275,6
PA14_05580,33,0.0005445041382314506,0.0005443559496436011,99.9600696965297,45.0,3.828641396489095,6
PA14_05620,146,0.002299017472532791,0.0022963787753633442,99.8233386573738,190.0,5.25227342804663,9
PA14_05960,17,0.00024200183921397803,0.00024197256149229964,99.97942984366681,20.0,3.044522437723423,5
PA14_06500,28,0.00041140312666376267,0.0004113185236006294,99.96611974251005,34.0,3.5553480614894135,3
PA14_06750,65,0.0013552102995982769,0.0013542928309353182,99.92134940225546,112.0,4.727387818712341,8
PA14_07090,24,0.0003872029427423648,0.0003871279990279244,99.97095977929432,32.0,3.4965075614664802,4
PA14_07140,11,0.00021780165529258023,0.00021777793995548676,99.98668989884322,18.0,2.9444389791664403,3
PA14_07230,76,0.0012947098397947823,0.0012938724257377,99.90803930109868,107.0,4.68213122712422,12
PA14_07480,47,0.0007986060694061275,0.0007982873532535627,99.94312956778472,66.0,4.204692619390966,6
PA14_07520,184,0.002928222254489134,0.0029239433626989508,99.77735830792314,242.0,5.493061443340548,14
PA14_07530,17,0.00022990174725327913,0.0002298753238963571,99.97942984366681,19.0,2.995732273553991,3
PA14_07680,31,0.0005445041382314506,0.0005443559496436011,99.96248971492183,45.0,3.828641396489095,4
PA14_07760,36,0.000605004598034945,0.0006048216565363696,99.95643966894148,50.0,3.9318256327243257,7
PA14_07770,187,0.0033638255650742946,0.0033581805595252296,99.77372828033492,278.0,5.631211781821365,14
PA14_08050,84,0.0015367116790087605,0.0015355321458635125,99.89835922753014,127.0,4.852030263919617,6
PA14_08060,5,7.26005517641934e-05,7.259791647168353e-05,99.99394995401964,6.0,1.9459101490553132,3
PA14_08130,18,0.0003751028507816659,0.0003750325172949782,99.97821983447074,31.0,3.4657359027997265,3
PA14_08370,37,0.0006776051497991384,0.0006773756790841288,99.95522965974541,56.0,4.04305126783455,7
PA14_08660,16,0.00021780165529258023,0.00021777793995548676,99.98063985286288,18.0,2.9444389791664403,6
PA14_08680,343,0.005154639175257732,0.0051413995004186705,99.58496684574803,426.0,6.056784013228625,23
PA14_08695,55,0.0009075068970524176,0.0009070953616303211,99.93344949421615,75.0,4.330733340286331,8
PA14_08710,94,0.0015851120468515561,0.0015838570827484682,99.88625913556943,131.0,4.882801922586371,15
PA14_08720,648,0.011035283868157398,0.010974839397848489,99.2159140409467,912.0,6.816735880594968,36
PA14_08730,730,0.012184792604423794,0.012111155583440171,99.11669328686898,1007.0,6.915723448631314,39
PA14_08740,638,0.010514979913847346,0.010460082010786922,99.2280141329074,869.0,6.76849321164863,41
PA14_08750,130,0.0019239146217511253,0.0019220662683516207,99.84269880451092,159.0,5.075173815233827,20
PA14_08760,1323,0.023280576932384688,0.023013718115800413,98.39915783359953,1924.0,7.562681246721884,83
PA14_08780,2027,0.03580417211170805,0.03517810291198462,97.54731135956634,2959.0,7.992944547318106,121
PA14_08790,364,0.006231547359759934,0.006212211554924624,99.55955665263056,515.0,6.246106765481563,38
PA14_08810,293,0.004827936692318862,0.004816319582076661,99.64546730555153,399.0,5.991464547107982,31
